id,vorname,nachname,email,geburtsdatum,profilbildUrl,rolle,organisation,erstelltAm,aktualisiertAm
00000000-0000-0000-0000-000000000001,Lena,Müller,lena@example.com,1995-08-14,,BEWERBER,Omnixys GmbH,2024-01-01,2024-01-01
00000000-0000-0000-0000-000000000002,Tom,Schmidt,tom@example.com,1992-11-20,,RECRUITER,VibeTech AG,2024-01-01,2024-01-01
00000000-0000-0000-0000-000000000003,Maya,Klein,maya@example.com,1999-05-03,,BEWERBER,Omnixys GmbH,2024-01-01,2024-01-01
00000000-0000-0000-0000-000000000004,Anna,Fischer,anna@example.com,1990-12-25,,RECRUITER,JobBridge,2024-01-01,2024-01-01
00000000-0000-0000-0000-000000000005,Leon,Bauer,leon@example.com,1998-07-09,,BEWERBER,Omnixys GmbH,2024-01-01,2024-01-01
00000000-0000-0000-0000-000000000006,Julia,Krüger,julia@example.com,1996-03-22,,BEWERBER,Omnixys GmbH,2024-01-01,2024-01-01
00000000-0000-0000-0000-000000000007,David,Wolf,david@example.com,1985-02-01,,RECRUITER,VibeCheck Inc.,2024-01-01,2024-01-01
00000000-0000-0000-0000-000000000008,Sophie,Hartmann,sophie@example.com,1997-04-17,,BEWERBER,Omnixys GmbH,2024-01-01,2024-01-01
00000000-0000-0000-0000-000000000009,Tim,Lang,tim@example.com,1993-06-29,,BEWERBER,Omnixys GmbH,2024-01-01,2024-01-01
00000000-0000-0000-0000-000000000010,Clara,Berg,clara@example.com,2000-09-15,,BEWERBER,Omnixys GmbH,2024-01-01,2024-01-01
